stem,C4_e1_med,C4_e1_n,C5_e1_med,C5_e1_n,C4_med,C5_med
ank_3_25,2.891813042704378,54,2.766308878453889,60,3.264407183285389,2.3459007768980817
ank_3_29,3.1588683251151504,16,3.5271568134597717,22,3.972902117924719,2.8804735189115354
ank_3_34,0.7595418174643597,73,0.6700516023471257,96,0.712124159274211,0.5820484771536303
ank_3_39,1.6159260913713518,27,1.9557256040280113,35,2.106801223827408,2.071685707657219
ank_3_9,1.576535966141219,67,1.5321445069211772,80,1.8582011230516495,1.0967354615414056
ank_40_19,0.5838697452631716,90,0.560910969221097,130,0.5964745338755398,0.5238858917033711
ank_40_2,2.9991232317632632,43,2.9071030927064783,67,2.978295836262247,2.3255279720903164
ank_40_40,2.6792579016992386,33,2.72229950345827,42,1.7775285235230731,2.4581087794435725
ank_41_0,2.496527371662193,50,2.48634630734862,63,2.5103802472915975,2.1566632536760877
ank_41_1,2.639932112369155,46,3.0117048707151253,41,3.4232182906152,1.8409251987454245
ank_41_19,2.7477369490209176,24,2.114373352547274,31,2.9715132780961704,2.0389946487287447
ank_41_40,3.791250053228001,30,4.0888560301518755,30,3.049437306768318,3.9877747972065674
ank_4_23,2.658364394651945,50,1.9302842369994944,52,3.270671384177041,1.623875986937803
ank_4_41,1.764877618081835,29,1.7120224120560517,50,1.3248149008102392,1.295925827522781
ank_5_12,0.7369705104929128,126,0.5568181492823968,177,0.7178622937945992,0.4080395101185156
ank_5_40,3.212401256577441,22,4.68735517449529,13,3.405481462186452,4.606991907997554
ank_5_5,1.1144993663974687,86,0.7157747706486408,151,1.0844697190849262,0.4807575573329983
ank_6_10,1.5849539849314773,100,1.7703119884634682,89,2.106442604668774,1.4104642530754132
ank_6_38,4.696975002615306,22,3.200959157680848,26,2.652562828666997,3.5557764299553813
ank_7_36,5.386260498036834,17,2.893495061980962,21,4.345372951012059,4.2102825797188865
ank_7_8,1.8288574464042557,79,1.778013494123725,112,1.9624913811434712,1.0927195307815996
ank_8_19,3.069941733560346,44,2.548733010179776,49,3.3190414662609036,2.035910514531145
ank_8_22,1.9153471264366204,54,0.909055516626933,73,2.1150284112228586,0.8326991479188905
ank_8_31,1.3341790521592998,40,1.3652708712834885,42,1.6497345933611502,2.0753406532221836
ank_8_41,0.829710988226323,105,0.7197700527324127,131,0.6142269856969385,0.5190753448778664
ank_9_1,2.7280117547873175,62,2.422568832046451,90,2.5757576725374616,1.9281268218233392
ank_9_24,1.5933419082068776,48,0.7294850683742283,62,1.6469794129295592,0.7510498383525146
ank_9_25,1.0884931752700577,72,0.6849385739457803,86,1.8463254010468584,0.6687869828962195
