stem,C4_e1_med,C4_e1_n,C4_e2_med,C4_e2_n,C4_e5_med,C4_e5_n,C4_e10_med,C4_e10_n,C5_e1_med,C5_e1_n,C5_e2_med,C5_e2_n,C5_e5_med,C5_e5_n,C5_e10_med,C5_e10_n,C4_e20_med,C4_e20_n,C5_e20_med,C5_e20_n
ank_19_9,1.886640869903606,43,1.8197219638546462,57,2.0233758516678373,56,1.7051155335677555,73,1.3838267404126054,71,2.5351806296189254,100,0.9523052980665931,96,0.7991169452552322,90,2.3259264140256724,53,1.139362866400408,85
ank_1_34,2.8960165984752386,39,1.9371247865202068,44,1.7238224363285506,49,2.065514743294235,51,1.732134251620451,49,2.678280923459587,56,1.6796781138806984,61,1.9215314565984498,61,1.457474498093922,41,1.5943191363413445,61
ank_20_10,1.4134542060442363,85,0.90223094135755,75,0.502937831687857,102,0.6909520431154461,128,0.5787487579125398,93,0.5317799346417419,134,0.37577428895576825,142,0.3675307981686399,147,0.862631754020328,97,0.3641476955312506,150
ank_20_19,3.054985164324125,63,2.994590348313265,57,2.685333983339355,58,3.140553425542812,57,3.0470776769508223,73,3.434027778610466,63,2.792273999616861,61,2.689344873039739,65,2.675642917146452,54,2.717394008525763,54
ank_20_37,0.626033139143169,114,0.589156754927705,144,0.5394987699548689,150,0.6162139615943636,153,0.6607609278580266,163,0.6162493295532359,170,0.5356646177774057,187,0.5445455772320198,206,0.6505948839877812,131,0.5454143851131332,215
ank_20_6,2.865918023765956,60,2.2808032839825314,62,3.571022538574569,55,2.4438023371606787,54,1.8827791181142572,84,2.570382984699196,74,2.3225514732075587,89,1.9625457399665285,76,2.2746188899857684,65,2.2896223677753573,97
ank_22_10,1.1517099347540276,103,1.1232055597189459,120,1.0998050039595981,101,1.1123693882051575,104,0.7942479430250771,118,0.9662512976555439,145,0.7606127608438762,148,0.6772278568967919,169,1.129093803990581,113,0.6346681512418301,159
ank_22_16,2.130548912570933,48,2.5503609523762067,49,2.820707519582874,47,2.9651365184109024,51,1.5699166528579471,59,1.5345974463687775,76,1.6295115251065886,61,2.170948334847518,74,2.6677505885544432,36,1.62029688590451,72
ank_22_37,1.5701902271450938,52,1.106995342879139,42,1.5350885352741734,60,1.1274153068745834,50,0.7061522288313211,59,0.9657634606353308,67,0.8089075552410795,57,0.7626977039803933,67,1.0331726656094746,49,0.842502744062528,65
ank_23_14,2.2282657434963276,79,2.42645920867424,48,2.360304338227716,64,2.2915286108789066,67,1.9381458539625858,75,2.177412738253476,81,2.112012354873816,65,2.3630130373538694,73,1.6349420220522584,52,1.6922660225932804,68
ank_23_28,1.1222656566685503,85,0.7723521946081018,76,0.7332762602826507,87,0.7381993536167253,92,0.599151625526377,97,0.5389967682363227,114,0.5494276148989842,123,0.5627753168735133,123,0.7302598097156145,89,0.5875514387116665,146
