stem,silent_frac,ref_edge,pretrained,C2
ank_30_30,0.38384887657740846,0.7762353412849554,1.13932468203241,0.7633159016075924
ank_30_7,0.5720798707294552,0.6996872793301725,1.0924163783160323,0.30046136101499427
ank_31_32,0.35293551862111416,0.7080721643865482,1.1609575860210914,0.5919482718805327
ank_31_7,0.6704562942443829,0.6443921613634407,0.9887350282737434,0.16786143639520906
ank_32_12,0.8320252385349338,0.6629520022195505,0.631652367998884,0.08509451070656344
ank_32_21,0.7498845798707294,0.9228361808013955,0.8167287485406127,0.2522933229554678
ank_32_37,0.40735610957217605,0.3211654703437854,1.0211733568592856,1.0180855756506397
ank_33_25,0.4989996922129886,0.8902081727062452,1.0082279577342803,0.5246405681621341
ank_33_3,0.5984533702677747,0.5351655416264867,1.203075259775362,0.4347408252747913
ank_33_34,0.2574830717143737,0.7935748972730668,1.1062888344944455,0.4545283374129166
ank_33_36,0.39844952293013236,0.7937044368271134,1.0573600973236008,0.37852798053527975
ank_34_11,0.6464489073561096,0.5706888855825026,1.3215142350610074,0.4255918239649598
ank_34_15,0.5557286857494613,0.7193049257502856,1.0135707410972088,0.23354186717998074
ank_34_21,0.6317905509387504,0.8417318758944067,0.9580756013745705,0.21982275275818414
ank_34_30,0.19336718990458604,0.9516514126541982,0.8822914488814552,0.9664436546100774
ank_35_11,0.6323676515851031,0.5051866273233353,0.8345276088396459,0.30469079303907987
ank_35_28,0.1433518005540166,0.8837895866881375,1.017916793197692,0.7537200121469784
ank_35_39,0.8452216066481995,0.7754563248213392,1.1210378023010097,0.3784339046724583
ank_35_7,0.7424399815327793,0.6750874465604353,1.099251583189407,0.19973133755517172
ank_36_40,0.959314404432133,0.6579839178648058,1.1365922043092678,0.12616950598848017
ank_38_19,0.9170706371191135,0.7887693243555052,1.1549876339653753,0.12889928995026992
ank_38_22,0.43996229609110493,0.7237986970399195,1.2099794611574242,0.6801377310619791
ank_38_24,0.7447291474299784,0.7484372578395413,1.0053149266609145,0.27830888697152717
ank_38_27,0.7543667282240689,0.7844447277827362,1.0744099863467915,0.16146544437942917
ank_38_40,0.9617189904586027,0.8729247509701165,1.0106780321257531,0.3792534543204784
ank_38_9,0.6177092951677439,0.6862134471053533,1.033492171545269,0.17358747447243023
ank_39_1,0.933691135734072,0.5359622555988215,1.5271776735603906,0.0940262935342508
ank_3_13,0.9390196983687289,0.6846806244110296,1.1147746992998624,0.25555023637125246
ank_3_25,0.9328447214527547,0.8778999030787948,0.8119421215822608,0.06631119045381942
ank_3_29,0.9805517082179132,0.8468797206364154,0.9604104892512972,0.038431245366938475
ank_3_34,1.0,0.8070367805478609,1.118275212738064,0.9563320859056563
ank_3_39,0.7832217605417051,0.7581972246100945,1.142371234207969,0.3272108843537415
ank_3_9,0.8222914742997846,0.6858419501239882,1.2029539175222568,0.17883821673431796
ank_40_19,0.7134118190212373,0.7671088820579194,1.0152553692572674,0.2128721571935745
ank_40_2,0.8830409356725146,0.7069100731962357,1.0535901386748843,0.10187981510015406
ank_40_40,0.9452908587257618,0.8773707773707774,0.9010066335761006,0.10314515006726353
