set,arm,band,matcher,chip,med,n
ank130,C2,rgb,klt,ank_31_7,0.5079265007148945,197
ank130,C2,rgb,klt,ank_32_12,3.0559965295657636,75
ank130,C2,rgb,klt,ank_32_21,0.8356272521166039,109
ank130,C2,rgb,klt,ank_32_37,0.5673116742253552,316
ank130,C2,rgb,klt,ank_33_25,0.5298101854786792,266
ank130,C2,rgb,klt,ank_33_3,0.5285886818562793,207
ank130,C2,rgb,klt,ank_33_34,0.4556633313755585,479
ank130,C2,rgb,klt,ank_33_36,0.4499446465866023,279
ank130,C2,rgb,klt,ank_34_11,0.5816693339855743,196
ank130,C2,rgb,klt,ank_34_15,0.8399524116853312,85
ank130,C2,rgb,klt,ank_34_21,0.5083716019979065,84
ank130,C2,rgb,klt,ank_34_30,0.5414120876482644,312
ank130,C2,rgb,klt,ank_35_11,0.5524479629337832,185
ank130,C2,rgb,klt,ank_35_28,0.4771187690581181,408
ank130,C2,rgb,klt,ank_35_39,0.5906188320969932,69
ank130,C2,rgb,klt,ank_35_7,0.7383310369848441,118
ank130,C2,rgb,klt,ank_36_40,2.98641088364331,54
ank130,C2,rgb,klt,ank_38_19,2.794818809823465,27
ank130,C2,rgb,klt,ank_38_22,0.4869330629115312,214
ank130,C2,rgb,klt,ank_38_24,0.9282048402109848,65
ank130,C2,rgb,klt,ank_38_27,1.1399744536200602,72
ank130,C2,rgb,klt,ank_38_40,1.6101347386064622,53
ank130,C2,rgb,klt,ank_38_9,0.5841616985271202,147
ank130,C2,rgb,klt,ank_39_1,2.835716256757162,55
ank130,C2,rgb,klt,ank_3_13,0.858501258776104,67
ank130,C2,rgb,klt,ank_3_25,2.134243111707038,59
ank130,C2,rgb,klt,ank_3_29,3.225791103802651,21
ank130,C2,rgb,klt,ank_3_34,0.4748422694233168,116
ank130,C2,rgb,klt,ank_3_39,0.9126096484876194,32
ank130,C2,rgb,klt,ank_3_9,1.266410831348571,98
ank130,C2,rgb,klt,ank_40_19,0.5374124268001217,124
ank130,C2,rgb,klt,ank_40_2,2.018987517103441,46
ank130,C2,rgb,klt,ank_40_40,2.3306649661876757,57
ank130,C2,rgb,klt,ank_41_0,1.244248917733641,70
ank130,C2,rgb,klt,ank_41_1,2.419860540518488,43
ank130,C2,rgb,klt,ank_41_19,1.994165439008134,35
ank130,C2,rgb,klt,ank_41_40,2.9209696535974383,26
ank130,C2,rgb,klt,ank_4_23,2.0125235894090783,49
ank130,C2,rgb,klt,ank_4_41,0.9435229697365308,53
ank130,C2,rgb,klt,ank_5_12,0.3395803047499441,208
ank130,C2,rgb,klt,ank_5_40,3.8096591401636033,14
ank130,C2,rgb,klt,ank_5_5,0.4561289549568937,123
ank130,C2,rgb,klt,ank_6_10,1.2379506487353265,98
ank130,C2,rgb,klt,ank_6_38,2.2799928841208623,15
ank130,C2,rgb,klt,ank_7_36,4.345727543799041,24
ank130,C2,rgb,klt,ank_7_8,1.1034106780833215,118
ank130,C2,rgb,klt,ank_8_19,2.402369667511601,44
ank130,C2,rgb,klt,ank_8_22,0.7714347745845727,80
ank130,C2,rgb,klt,ank_8_31,1.940852646874725,44
ank130,C2,rgb,klt,ank_8_41,0.4359670806989634,131
ank130,C2,rgb,klt,ank_9_1,1.3129314551422484,70
ank130,C2,rgb,klt,ank_9_24,0.7517423633072704,77
ank130,C2,rgb,klt,ank_9_25,0.4546309203967518,76
eu150,C1,rgb,klt,30SVJ_0796_00,4.084763981284789,20
eu150,C1,rgb,klt,30SVJ_1711_00,4.311706679353666,21
eu150,C1,rgb,klt,30TVK_0841_00,2.933752776242219,18
eu150,C1,rgb,klt,30TVK_1126_00,4.23384245046707,27
eu150,C1,rgb,klt,30TVK_1386_00,3.5907122157179696,37
eu150,C1,rgb,klt,30TVK_1390_00,4.3054251384860756,19
eu150,C1,rgb,klt,30TVK_1697_00,3.423640443702657,28
eu150,C1,rgb,klt,30TVK_2512_00,4.872034606906705,24
eu150,C1,rgb,klt,30TXP_0408_00,2.625027497852999,60
eu150,C1,rgb,klt,30TXQ_0830_00,3.174724366121257,49
eu150,C1,rgb,klt,30TYQ_1071_00,3.262884143955023,44
eu150,C1,rgb,klt,30UYC_0687_00,2.9712463704090917,53
eu150,C1,rgb,klt,31TGJ_0814_00,3.689292794046452,61
eu150,C1,rgb,klt,31UDP_0247_00,3.357501017956398,39
eu150,C1,rgb,klt,32UPA_0047_00,2.808530704057659,49
eu150,C1,rgb,klt,33TWF_0539_00,3.2039932914673033,23
eu150,C1,rgb,klt,33TWF_1416_00,3.670051836086113,43
eu150,C1,rgb,klt,34TCR_0112_00,3.126213393013366,43
eu150,C1,rgb,klt,34TCR_0361_00,3.8355138843920207,64
eu150,C1,rgb,klt,34TCR_0769_00,3.822211071248144,27
eu150,C1,rgb,klt,34TCR_0850_00,2.6705528861926187,38
eu150,C1,rgb,klt,34TCR_1204_00,2.20757257589941,18
eu150,C1,rgb,klt,34TCS_0241_00,4.112666436881686,26
eu150,C1,rgb,klt,34TCT_0362_00,3.059130635144346,31
eu150,C1,rgb,klt,34TCT_0701_00,3.634960466229461,35
eu150,C1,rgb,klt,34TCT_0757_00,3.893904550969092,18
eu150,C1,rgb,klt,34TCT_0997_00,4.232979787841908,32
eu150,C1,rgb,klt,34TCT_1595_00,3.548962348285848,61
eu150,C1,rgb,klt,34TCT_1710_00,3.0342848380173257,22
eu150,C1,rgb,klt,34TCT_2072_00,3.8802762175949272,34
eu150,C1,rgb,klt,30TXP_0411_00,3.3198005477560035,63
eu150,C1,rgb,klt,30TXP_0787_00,2.673070610514225,51
eu150,C1,rgb,klt,30TXP_1048_00,2.8772614857041616,49
eu150,C1,rgb,klt,30TXQ_0896_00,3.2851630502819615,48
eu150,C1,rgb,klt,30UYD_0119_00,3.5816839528353697,37
eu150,C1,rgb,klt,31TCJ_0091_00,4.932053830431813,39
eu150,C1,rgb,klt,31TCN_1803_00,2.126834469895498,26
eu150,C1,rgb,klt,31TGJ_0550_00,2.8366421181268393,52
