sitevar,arm,stem,stratum,n_mean32,med_mean32,n_single,med_single,delta
ank_prod,C1,ank_33_3,5,81,1.4873965586679465,97,1.6055775844826907,-0.11818102581474421
ank_prod,C1,ank_33_34,5,315,0.5331693142087918,308,0.5231556073037161,0.010013706905075637
ank_prod,C1,ank_34_11,5,65,2.0941750284805383,62,1.4781463626939157,0.6160286657866225
ank_prod,C1,ank_35_11,5,67,2.278209703125092,75,2.696261881183126,-0.41805217805803396
ank_prod,C1,ank_38_22,5,139,0.5513158747424679,157,0.5999489877946412,-0.04863311305217333
ank_prod,C1,ank_3_13,2,53,2.6904007010964466,51,2.483880300616155,0.2065204004802914
ank_prod,C1,ank_4_41,2,40,1.7791538461062948,40,1.4256736877197302,0.35348015838656455
ank_prod,C1,ank_5_12,4,49,2.56853249218567,62,3.4273489824506664,-0.8588164902649966
ank_prod,C1,ank_5_5,4,88,2.3826780029702044,66,2.2250065615171932,0.15767144145301115
ank_prod,C1,ank_6_10,3,54,3.0726309481740834,68,3.143394796863925,-0.07076384868984142
ank_prod,C1,ank_7_36,1,17,4.484830997653515,13,4.653039648881462,-0.16820865122794704
ank_prod,C1,ank_7_8,2,53,3.2254955421823746,61,2.926076469759572,0.29941907242280275
ank_prod,C1,ank_8_31,2,32,1.2902094179150234,46,1.9905224415695928,-0.7003130236545694
ank_prod,C1,ank_9_1,3,47,3.2587554387146134,49,3.4849930636638073,-0.22623762494919397
ank_prod,C1,ank_9_25,1,68,1.386504097189651,71,1.5276128145019012,-0.14110871731225028
ank_prod,C2,ank_0_30,1,31,1.7646579007281429,30,2.5517616081742593,-0.7871037074461165
ank_prod,C2,ank_13_34,1,29,3.004136732132372,40,3.7655673917065577,-0.7614306595741858
ank_prod,C2,ank_13_6,4,67,2.8073337622082364,72,2.9307969346416067,-0.12346317243337035
ank_prod,C2,ank_17_22,3,54,2.511910135133415,59,2.4900225436319445,0.02188759150147046
ank_prod,C2,ank_18_7,4,96,0.9843436933898491,117,1.1430555732680454,-0.15871187987819635
ank_prod,C2,ank_20_6,3,63,2.2183497857056675,78,2.089468954730508,0.12888083097515945
ank_prod,C2,ank_22_16,2,47,2.048340710966739,38,2.2710769005111375,-0.22273618954439867
ank_prod,C2,ank_22_37,4,84,0.9635038306266193,69,1.2473397809753042,-0.2838359503486849
