stem,pre_med,pre_n,C1_e1_med,C1_e1_n,C1_e2_med,C1_e2_n,C1_e5_med,C1_e5_n,C1_e10_med,C1_e10_n,C1_e20_med,C1_e20_n,C2_e1_med,C2_e1_n,C2_e2_med,C2_e2_n,C2_e5_med,C2_e5_n,C2_e10_med,C2_e10_n,C2_e20_med,C2_e20_n
ank_35_28,1.107907097753739,163,0.8132659592057754,138,0.7434852915287944,171,0.6974378197944537,269,0.6484613349771741,266,0.6798286163993654,254,0.661875657722395,303,0.5685374629721738,326,0.5325159819870385,387,0.45164621108167974,411,0.4771187690581181,408
ank_35_39,2.095562543136553,38,1.6109897801784565,60,1.3934476803308045,53,0.7927315905604999,51,1.5612234286594586,56,1.7829067464602768,67,1.4452828457944453,76,1.1469922567478754,87,0.7985563534725527,64,0.8147324629911861,74,0.5906188320969932,69
ank_35_7,2.025982801213879,58,1.1258643985300045,82,1.129043493958948,81,1.8313933384780416,94,1.3575433778903865,79,1.554328497374863,76,0.5488393883816576,100,0.8138953016844981,101,0.6602029535290436,99,0.7215500096105325,126,0.7383310369848441,118
ank_36_40,4.06478319959864,38,3.342934240688524,29,2.8712881306705342,51,3.8026319384410856,63,4.6734855918428835,50,3.650059680660775,51,2.4306904530141713,46,2.927913017479403,53,2.749085231559591,43,2.642523607623989,47,2.98641088364331,54
ank_38_19,4.571640519758185,27,2.553801342843826,36,1.7246116787145795,20,2.6986251425621974,43,1.8724863225496162,24,3.4730099745568714,31,2.891051462375853,38,2.3786004545321626,31,2.5863612967415515,43,3.000427495698871,34,2.794818809823465,27
ank_38_22,1.0934926310796658,93,0.8822856628787886,107,0.7534278243098123,124,0.602534060161466,143,0.5275122487362742,154,0.5181827495305769,146,0.5122883368442277,192,0.5281939184224049,221,0.5044596537346897,225,0.47387522010872746,217,0.48693306291153127,214
ank_38_24,3.289505946454829,25,1.2488953736725907,49,1.0625605529917372,46,1.9458404509437177,49,1.5508096767950947,38,1.7426444983471063,56,0.9450775389877927,54,0.7371011670615721,49,1.0602433900181896,64,1.019760160305776,56,0.9282048402109847,65
ank_38_27,2.1426518976101363,46,1.3044562240353792,58,1.4941745323070998,59,1.000648935227864,59,1.1592658033538066,63,1.3532223503845628,62,1.084661609399056,72,0.9239755146242701,70,0.885632646791239,65,0.9649498122660469,69,1.1399744536200602,72
ank_38_40,4.572350961205214,36,2.983301719726648,44,2.3638361524927247,42,2.058153032436169,49,2.1617801657417295,59,2.4207481155170854,36,2.099014788828305,49,1.7266807737038048,63,2.0583983902203937,54,2.4006178398189935,45,1.6101347386064622,53
ank_38_9,1.0070154102404998,76,0.7571322622343029,92,0.7678805352140876,122,0.6722396031633598,119,0.7303845963491822,105,0.8705936608907947,97,0.6073543537836376,127,0.678876010724849,148,0.6315324079067826,144,0.6725383526846138,158,0.5841616985271202,147
ank_39_1,3.857704303971118,43,2.936447132661974,37,3.690342524510176,40,2.4924774777423466,57,3.8128293314827113,34,3.52233105225224,48,3.309405797483783,50,2.9522702425147243,48,2.467046228688142,44,2.413718698514621,58,2.835716256757162,55
ank_3_13,3.2403907286669265,42,2.3659775308179976,51,2.3416487650728626,55,2.091701710481925,65,2.3500413429549454,62,2.8476216397629504,52,1.8196160442302223,60,1.1887011875705644,82,1.1663705809681644,76,0.9171417941739164,77,0.858501258776104,67
ank_3_25,3.465864653519852,50,3.229088166426072,39,3.4892712142323323,42,3.6105316920077524,54,4.121078153673289,43,3.611122189788926,38,2.1413160249454117,56,1.963637925235307,51,2.0212397702823535,51,2.3503127825085945,58,2.134243111707038,59
ank_3_29,3.442547409282412,13,4.733346134572511,17,4.291937156721391,9,4.115120896399823,24,3.0178501048165147,15,3.3228252324658576,17,5.276949355240722,18,3.8110124460615316,22,3.5533262585177523,16,4.239278641450852,20,3.2257911038026514,21
ank_3_34,1.3984197669960885,51,1.0646698531836836,50,0.8227582045182364,64,0.6710110200873004,68,0.5438964440119807,81,0.8825105826507691,79,0.7007190584187745,90,0.5263731998724646,85,0.7207915885673629,115,0.665293996463997,95,0.47484226942331687,116
