stem,informative_frac,ref_edge,C1,C2,C4,C5
ank_24_12,0.1858264081255771,0.9376811594202898,0.9886288363877235,0.912011481563259,0.976264075954957,1.0009935968204902
ank_24_14,0.21902893197907047,0.8866151414017214,1.0216939078751857,0.9944526993561169,0.9937592867756315,1.0581475978207033
ank_24_3,0.02806632810095414,0.7018505825908157,1.2070312499999998,1.0693359375,1.2373046875,1.2490234374999998
ank_25_1,0.3963719606032625,0.8305265712205775,1.1135394144802198,1.0581429322737101,1.1448606322678665,1.126862619061532
ank_25_14,0.13763850415512466,0.7651991614255765,1.1046575342465754,1.0754337899543378,1.199269406392694,1.217716894977169
ank_25_16,0.099857648507233,0.9443267193219033,0.95593635250918,0.890452876376989,0.9012647898816809,0.9475724194206447
ank_25_37,0.25959910741766695,0.9689514635050018,0.9860048944631385,0.9660446619761396,0.9994646680942184,1.0080299785867237
ank_26_21,0.19754155124653738,0.9425455253676113,0.975617315838413,0.9171402004339292,0.9840892654199814,1.0059923545820848
ank_26_22,0.30234302862419205,0.9389832665266908,0.9879387450874102,0.9461309120477029,0.9684239056782762,1.0056918281609974
ank_26_29,0.7540974145891043,0.9553072625698324,1.0086784693850301,0.9975700285721915,1.0147934524286362,1.0194130684397447
ank_26_3,0.24640273930440135,0.916230775236162,0.9945466939331971,0.9516871165644172,1.0236877982276755,1.0007668711656443
ank_26_35,0.12192212988611881,0.9124329441464184,1.0622514265951928,1.0122773646896075,1.0591388552654333,1.0752204738025246
ank_26_5,0.4659318251769775,0.877420420296437,1.0479013739883305,0.9890363259928477,1.0564652738565783,1.0474308300395256
ank_27_14,0.03647276084949215,0.8264767932489452,1.1423101467772814,0.9725590299936183,1.0848755583918315,1.0874282067645182
ank_27_40,0.12219144352108341,0.9549748110831234,0.9993405868776789,0.926145730300033,0.9937355753379492,1.0060995713814704
ank_28_27,0.1023391812865497,0.9531954887218045,1.0155787813054624,0.9822520212975745,1.0268191678169987,1.0285939656872412
ank_28_37,0.4921321945213912,0.9650549192823359,1.0190368180161207,0.9989468994288955,1.0222366235975535,1.0185507715986877
ank_28_38,0.10741766697445368,0.9305157593123209,1.0423402617397999,1.0211701308699,1.0533102386451116,1.0452270977675135
ank_28_9,0.13371421975992612,0.6908358509566969,1.316326530612245,1.201374427321949,1.3431903373594336,1.3213244481466055
ank_29_0,0.4160126192674669,0.8666882456302599,1.0649309075388143,1.038467694605986,1.0736808408472496,1.0853118497572427
ank_29_11,0.003905047706986765,0.9753694581280788,1.0101010101010102,1.0151515151515151,1.0101010101010102,1.0252525252525253
ank_29_21,0.16374269005847952,0.9571193609022557,0.9938627715723579,0.9296673622192217,0.9889529888302443,1.0051552718792192
ank_29_24,0.16291551246537397,0.9128586609989373,1.0402276548958738,1.011253395421032,1.0451429310567844,1.0549734833786055
ank_29_26,0.11420821791320407,0.9196563921172309,1.0241758241758243,1.0071428571428571,1.0340659340659342,1.0543956043956044
ank_2_12,0.16431979070483227,0.8833996722079138,1.055261065465147,0.9499072356215214,1.0418764908560827,1.0356480254439437
ank_2_23,0.06425053862726993,0.9769461077844311,0.9886607416487895,0.9469813055470426,0.9837572785779957,1.007048728164266
ank_30_30,0.6151508156355802,0.9459315779598474,1.0222817283215975,1.007934146583358,1.0371251942212965,1.0289265760851598
ank_30_7,0.43119036626654356,0.8510818648226633,1.0785762960633225,1.0238507102793941,1.0430885359333228,1.0755884048854643
ank_31_32,0.6478916589719914,0.9438242280285035,1.0217692210897193,1.0088083553542218,1.0312067446835285,1.0274317352460047
ank_31_7,0.33258310249307477,0.9284516166348545,0.9916521305756292,0.9522800897084476,1.0094069274856716,0.9818714178918514
ank_32_12,0.16910972606955987,0.764304402229553,1.1754725405566304,1.056258371781515,1.1802351540407798,1.1794909956838815
ank_32_21,0.25219298245614036,0.9360030511060259,0.964387580474289,0.933664738000163,0.941488061282699,0.9953549018009943
ank_32_37,0.5924322868574946,0.9785693411695945,0.9902777316919401,0.9883531871121876,1.0016259083518597,1.0025549988386369
ank_33_25,0.5005193905817175,0.9725585149313963,1.0032009484291642,0.9935585852598301,1.0103141671606402,1.008456826714088
ank_33_3,0.40472068328716526,0.9002329008032701,1.0261879619852163,0.9567581837381204,1.0251319957761351,1.020221752903907
ank_33_34,0.7425169282856263,0.9719422782973652,1.0023456658492376,0.9855528307921952,1.0056775775669047,1.0044780893485445
ank_33_36,0.60310864881502,0.951773411584588,1.012097855227882,0.990583109919571,1.0218163538873994,1.0138069705093833
ank_34_11,0.35576331178824255,0.8783929923218341,1.0743613419513698,1.0313327177593106,1.0883348722683903,1.0650046168051708
ank_34_15,0.4480417051400431,0.7763084453222274,1.168298213594381,1.1170842320668106,1.1973895249156574,1.2080637132901941
ank_34_21,0.36945983379501385,0.9534520462355514,0.9927916120576671,0.9530908693752731,1.0035495849716034,1.0075360419397117
ank_34_30,0.8066135734072022,0.9818749850945601,0.9978625731704356,0.9918389157416629,1.001287313885988,1.0015302032984383
ank_35_11,0.3705178516466605,0.8799646954986761,1.052628473656263,0.9782878045902413,1.0424213817924362,1.029913269219423
ank_35_28,0.8572637734687596,0.9739924602818418,1.0001382329224744,0.9908766271166917,1.0036862112659832,1.0016127174288676
ank_35_39,0.1552593105570945,0.821955148060959,1.1397347000301477,1.094362375640639,1.150286403376545,1.1564666867651492
ank_35_7,0.25811788242536166,0.8484871068713669,1.0702678963548529,1.0289855072463767,1.0657004830917873,1.1173473869126043
ank_36_40,0.04112803939673746,0.9167446211412535,1.0418367346938775,0.9051020408163265,1.0459183673469388,1.025
ank_38_19,0.08162126808248692,0.9255243931180769,1.0440539852304558,1.0412528647822765,1.0606060606060606,1.0702826585179526
ank_38_22,0.5589796860572483,0.9522678780370294,1.0194788768024285,1.0120342596942646,1.0309710527266813,1.0302482743666654
ank_38_24,0.25523237919359804,0.925761230027133,1.0113164536351054,0.9976390132703737,1.0291459741105593,1.0440446145078564
ank_38_27,0.24499846106494305,0.9433888190954773,1.0112359550561798,0.9719517270079069,1.011652101539742,1.0222222222222221
ank_38_40,0.03837719298245614,0.9558897243107769,0.9910854745673833,0.9643418982695333,1.010487676979549,1.0136339800734138
ank_38_9,0.38369498307171435,0.8262809585881881,1.1051513864449973,1.082701292397306,1.1133426369759116,1.1451975001516899
ank_39_1,0.06596260387811634,0.9081364829396326,1.0594091201027618,0.9428387925497752,1.0806037251123957,1.067116249197174
ank_3_13,0.0606917513080948,0.9629160063391442,0.9865042791310074,0.9614878209348255,0.9716919025674786,1.010862409479921
ank_3_25,0.06794398276392737,0.9136466591166478,0.9885342423303378,0.8837929965912612,1.0672451193058567,1.0365664704059498
ank_3_29,0.019236688211757464,0.964,1.0145228215767634,0.9253112033195021,1.0155601659751037,1.0155601659751037
ank_3_39,0.2172591566635888,0.9667965291305117,0.9878193973807126,0.9460573312574412,0.9865372286839454,1.0015569191317888
ank_3_9,0.17788165589412128,0.8691467502973937,1.0526315789473684,0.9702625357720542,1.0613412965036706,1.0909543361950977
ank_40_19,0.28516466605109264,0.9643820831084727,1.015458869613878,0.9960128707330722,1.0270005595970901,1.0204252937884724
ank_40_2,0.11707448445675593,0.8941833716726915,1.059904446894524,1.0218669606762218,1.073502388827637,1.087835354649026
ank_40_40,0.05445906432748538,0.9678558813140233,1.0135036496350365,0.9572992700729926,1.013868613138686,1.0091240875912408
ank_41_0,0.09679901508156356,0.8988473767885533,1.0736237010833518,1.0720760557152333,1.0740658854742426,1.0968383816051293
ank_41_1,0.09472145275469375,0.894191714053615,1.0697251873722462,1.017942312059959,1.0767658414717238,1.0933454462866228
ank_41_19,0.07971683594952293,0.8800675675675675,1.1003564573622155,1.1099533863449411,1.1211955031532765,1.1307924321360021
ank_41_40,0.01654355186211142,0.9767441860465116,1.0107142857142857,0.9523809523809524,0.9642857142857143,1.0035714285714286
ank_4_23,0.06421206525084641,0.9361893349310965,0.96576,0.86528,0.94592,0.9900800000000001
ank_4_41,0.0652123730378578,0.9507374631268437,0.9891405522804839,0.9131244182438721,0.9649394973627055,1.0086875581756127
ank_5_12,0.31854032009849187,0.9296455099945649,0.9809666103676757,0.9492659477718591,1.0258542289203587,1.0011043263609198
ank_5_40,0.025911819021237303,0.9302152932442465,1.0151636073423782,0.9114126097366321,1.0047885075818037,1.048683160415004
ank_5_5,0.24428670360110805,0.9379478699110166,0.9607085886995214,0.9126857526656031,0.9446729913525312,0.9382083788095038
ank_6_10,0.16541628193290242,0.9283637632282824,0.9716898409119378,0.9011649755730928,0.9493924589753225,0.9644244018539395
ank_7_36,0.03339489073561096,0.9735023041474654,1.009467455621302,1.0100591715976333,1.001183431952663,1.0201183431952663
ank_7_8,0.1425438596491228,0.9164642375168691,0.9517007804447062,0.9156236194963923,1.0020615520541893,0.9826240612575468
ank_8_19,0.061172668513388734,0.9053459119496855,1.0555748523792983,0.9676971170545329,1.0732893365751999,1.0774574505036472
ank_8_22,0.10637888581101877,0.933634719710669,0.9707534379236877,0.8617083091226032,0.9883788495061012,1.00116211504939
ank_8_41,0.0020967990150815635,0.8807339449541285,1.03125,1.0,1.1145833333333333,1.1145833333333333
ank_9_1,0.17264927670052324,0.8705292479108635,1.0299500831946755,0.9760655318059644,1.0349417637271214,1.0636119288365544
ank_9_24,0.11699753770390889,0.9636632686616244,0.9930046067224023,0.9551271114144344,0.9960757549906161,1.0088722061081727
ank_9_25,0.022583871960603262,0.9463373083475298,1.0387038703870386,1.0135013501350134,1.0126012601260126,1.0423042304230423
