stem,stratum,conf_D,conf_B,conf_S,osm_fraction,err_C2,n_C2,err_C1,conf_COMB
32UNE_1364_00,3,0.753919082743192,-21.788614502252546,-1.2214677333831787,0.014867749700979576,2.761939316233671,83.0,1.8786580164045728,0.4006684558640934
32UNE_2091_00,4,1.0903466407043545,-16.439461372213472,-0.9442954063415527,0.09302184741631213,1.748848857211726,107.0,1.9817049069422024,0.8999407513253259
32UNE_2132_00,5,1.6048455242308326,-13.461373539443288,-1.2805722951889038,0.23759632999742616,0.9240783555838517,100.0,1.0269482668234167,1.1915480133207665
32UPA_0047_00,1,0.1922596964964961,-61.170126661471016,-1.635650396347046,0.0009084164786749232,2.4625895057535594,104.0,2.9030391938547435,-0.4027149071745373
32UPA_1016_00,5,1.3176085460111326,-11.213482012942974,-0.990916907787323,0.057472482550833474,0.9817356497649541,136.0,0.9845708924301118,1.092021522796773
32UPA_1036_00,3,0.7274016616969058,-36.69217235261373,-0.8616704940795898,0.03177943647897773,1.2969942382051702,91.0,1.8742580488222238,0.5982526909058753
32UPA_1085_00,3,0.5830433176808362,-32.116576961881286,-0.8892282247543335,0.026979969416645218,1.7054756462606702,103.0,2.357296350612449,0.44074737722968976
32UPA_1861_00,2,0.45516576274122444,-44.91021901207272,-1.187701940536499,0.008993323138881739,2.0122855092080596,89.0,2.7896620505880527,0.1310770359889672
32UPA_1883_00,2,0.39907721327332996,-47.212431974796246,-1.4593887329101562,0.008145467758785144,1.9884160218202411,100.0,3.0087709732279078,-0.09214427867315345
32UPA_1911_00,2,0.41762868352361526,-45.36376495100898,-1.459141731262207,0.012990355645051401,2.44245386499649,58.0,2.55113111377382,-0.07394858849357028
32UPA_2227_00,4,0.9102479526576085,-23.403258128124858,-1.053497552871704,0.0783660615603567,1.0780054175502036,120.0,1.1449308053113882,0.6569884243717796
32UPB_1109_00,3,0.6681745505579163,-30.056428070309575,-1.6044766902923584,0.07261275719541553,1.476880691421028,94.0,1.088173729931122,0.07949259144640584
33TVN_1850_00,2,0.4360409323717369,-41.389915207151276,-2.056251049041748,0.015821587003588246,0.7155827868375599,100.0,2.09208065274962,-0.4267466689782229
33TWE_1260_00,5,0.9177271672847015,-20.209473455671926,-0.5843662023544312,0.010598192251207436,0.6900757606510893,117.0,1.550358793294119,0.9555144885677134
33TWF_0539_00,1,0.13924942197046383,-39.8753259668364,-2.8244643211364746,0.0076155581462247724,3.8696546841989097,27.0,4.029167916871329,-1.192324992257364
33TWF_1076_00,4,0.7426052956160727,-14.326731918596083,-0.8468756675720215,0.019712637587245833,1.5849960378427255,72.0,2.3416352509910356,0.6222241890172429
33TWF_1157_00,3,0.5782218970828287,-18.86203946406256,-1.3324084281921387,0.010658753349785765,0.577263034316602,118.0,1.5518508622296023,0.1609174886904585
