sitevar,arm,stem,stratum,n_mean,med_mean,n_single,med_single,improve
ank_prod,C1,ank_4_41,2,47,1.6822656217588026,40,1.4256736877197302,-0.2565919340390723
ank_prod,C1,ank_5_12,4,64,2.651036344319696,62,3.4273489824506664,0.7763126381309706
ank_prod,C1,ank_5_5,4,82,2.7311175806660986,66,2.2250065615171932,-0.5061110191489053
ank_prod,C1,ank_6_10,3,66,3.097077080791366,68,3.143394796863925,0.046317716072558746
ank_prod,C1,ank_7_36,1,10,5.358307608815205,13,4.653039648881462,-0.7052679599337432
ank_prod,C1,ank_7_8,2,61,2.970819053963149,61,2.926076469759572,-0.04474258420357735
ank_prod,C1,ank_8_31,2,34,1.377496325029191,46,1.9905224415695928,0.6130261165404018
ank_prod,C1,ank_9_1,3,45,3.797038816460609,49,3.4849930636638073,-0.3120457527968017
ank_prod,C1,ank_9_25,1,62,1.433697630568153,71,1.5276128145019012,0.0939151839337482
ank_prod,C2,ank_0_30,1,22,1.61441224173951,30,2.5517616081742593,0.9373493664347494
ank_prod,C2,ank_13_34,1,30,3.137267766647447,40,3.7655673917065577,0.6282996250591109
ank_prod,C2,ank_13_6,4,68,2.484847826709232,72,2.9307969346416067,0.44594910793237474
ank_prod,C2,ank_17_22,3,38,2.349357217499828,59,2.4900225436319445,0.14066532613211669
ank_prod,C2,ank_18_7,4,101,1.0188503352173284,117,1.1430555732680454,0.12420523805071704
ank_prod,C2,ank_20_6,3,68,2.1867068862276744,78,2.089468954730508,-0.09723793149716631
ank_prod,C2,ank_22_16,2,50,1.9306729968797494,38,2.2710769005111375,0.34040390363138817
ank_prod,C2,ank_22_37,4,67,0.9121849706101752,69,1.2473397809753042,0.33515481036512895
ank_prod,C2,ank_24_3,1,32,2.630451499219652,45,2.880660169492453,0.250208670272801
ank_prod,C2,ank_25_16,2,68,1.4829597202448213,66,1.5470230251809785,0.0640633049361572
ank_prod,C2,ank_26_3,4,52,3.1581245234539876,51,2.6794520016949757,-0.478672521759012
ank_prod,C2,ank_26_5,5,66,1.4608257410796868,70,1.771514755490435,0.31068901441074814
ank_prod,C2,ank_27_14,1,39,3.7713233129567816,42,3.803550323392966,0.03222701043618459
ank_prod,C2,ank_29_21,3,60,1.7435048956574213,55,2.51597180622041,0.7724669105629887
ank_prod,C2,ank_2_12,3,61,3.5161469462966735,67,3.0391000504295054,-0.4770468958671681
ank_prod,C2,ank_33_3,5,139,0.719430361646652,132,0.6473852627740159,-0.0720450988726361
ank_prod,C2,ank_33_34,5,467,0.4603889675178922,463,0.4652636384359599,0.004874670918067703
ank_prod,C2,ank_34_11,5,75,1.534585525907321,84,1.7315634257663857,0.19697789985906478
ank_prod,C2,ank_35_11,5,94,2.1168462364760283,85,1.6546421703317005,-0.46220406614432785
ank_prod,C2,ank_38_22,5,227,0.491207669973607,218,0.49562251833279464,0.004414848359187651
ank_prod,C2,ank_3_13,2,66,0.8796808233609343,71,0.7887851169320125,-0.09089570642892186
ank_prod,C2,ank_4_41,2,51,0.7140170909697149,54,0.9304627140157538,0.21644562304603887
ank_prod,C2,ank_5_12,4,100,1.1485073289788503,100,0.5471360710803629,-0.6013712578984874
ank_prod,C2,ank_5_5,4,105,0.37476120252938055,132,0.5065541064541919,0.1317929039248113
ank_prod,C2,ank_6_10,3,47,2.7277772233982343,54,3.391031125717898,0.663253902319664
ank_prod,C2,ank_7_36,1,19,4.499389944708185,17,3.693449856016195,-0.8059400886919903
ank_prod,C2,ank_7_8,2,60,2.58356680777322,69,2.725265889175282,0.141699081402062
ank_prod,C2,ank_8_31,2,44,1.7132189733120655,49,2.0133252116034037,0.3001062382913382
ank_prod,C2,ank_9_1,3,59,2.338695029524446,38,3.351014458169785,1.012319428645339
ank_prod,C2,ank_9_25,1,74,0.47035290304500005,77,0.4466260747549374,-0.023726828290062674
eu,C1,30SVJ_0796_00,1,23,5.013726444915922,20,4.084763981284789,-0.9289624636311329
eu,C1,30SVJ_1711_00,1,21,3.380838912996721,21,4.311706679353666,0.9308677663569447
eu,C1,30TVK_0841_00,1,25,4.369922480847949,18,2.933752776242219,-1.4361697046057298
eu,C1,30TVK_1026_00,4,66,3.897447866363779,62,3.383574859049002,-0.513873007314777
eu,C1,30TVK_1126_00,1,23,3.1491458713618115,27,4.23384245046707,1.0846965791052585
eu,C1,30TVK_1289_00,4,62,2.8966575455434356,66,2.9653044152808246,0.06864686973738898
eu,C1,30TVK_1386_00,1,43,3.0141262348034994,37,3.5907122157179696,0.5765859809144702
