stem,silent_frac,ref_edge,pretrained,C2,C5
ank_24_12,0.815597106802093,0.8796877211189207,0.8355899938332843,0.17891519425154837,0.8999115210338634
ank_24_14,0.7818751923668821,0.8632304096444827,0.9873738813201847,0.204725531551046,0.9786524539702446
ank_24_3,0.9721645121575869,0.7070463224963888,0.4774991604164334,0.04041195566998768,0.8345460651516848
ank_25_1,0.6072637734687596,0.6977318803852002,1.1170434940524836,0.3784618178516299,1.0834468355579772
ank_25_14,0.8640158510310865,0.5195369030390738,1.3610884936790228,0.06038140132847653,1.668395114634669
ank_25_16,0.9013927362265313,0.8222928848862521,0.37351742752588823,0.06882769717889492,0.7441800109003139
ank_25_37,0.7393621114188981,0.9232210225055288,0.9335193326569721,0.1536185322962462,0.946680193890204
ank_26_21,0.802670052323792,0.7761347840674879,0.9415161340126601,0.1025783541763162,1.1380886212752817
ank_26_22,0.6986188057863958,0.7504474488531542,1.0270052102443679,0.268914654729581,1.1135980039627211
ank_26_29,0.24546014158202523,0.8692789968652037,1.0355210962856114,0.8433104940497655,1.0459790840245222
ank_26_3,0.7558287165281625,0.7104680461174314,0.7612036539494895,0.05896471431130217,0.8912412681354112
ank_26_35,0.8763273314866112,0.8574031390626715,0.9960060421413758,0.1936301492613738,1.024066156327607
ank_26_5,0.5384733764235149,0.7667190625893112,0.9480477122355793,0.2688938589134284,1.013978194017333
ank_27_14,0.9640851031086488,0.8325119221022806,0.5081130311818421,0.053016321932746927,0.9056875104858233
ank_27_40,0.8781548168667282,0.9024315443592552,0.7437615302456548,0.10493737256044276,0.982546849208661
ank_28_27,0.8970644813788858,0.728175326485536,1.243661100803958,0.35812939894572543,1.248814677386106
ank_28_37,0.5071945213911973,0.8646362739892286,1.0590428565162082,0.5701627407114971,1.067815940693951
ank_28_38,0.8922745460141582,0.8566962745774405,0.9665802652439792,0.07836525152880187,1.0582580466567684
ank_28_9,0.8679786088027085,0.4722634693380023,1.2337979257590688,0.0864423483035337,1.5530527007367776
